,Date,Open,High,Low,Close,Volume,boringCandle,greenExcitingCandle,redExcitingCandle,ds_dbr_base1,ds_rbr_base1,greenBoringCandle,proximalLine,distalLine
52,1999-12-01,26.35498795373609,28.85090416596696,25.57427611115811,27.567461013793945,795914555.0,True,False,False,False,False,True,27.567461013793945,25.57427611115811
95,2003-04-01,35.11192096417273,38.41956646543659,33.680728380153305,34.91473388671875,556729429.0,True,False,False,False,False,False,35.11192096417273,33.680728380153305
190,2010-09-01,419.3652072742847,475.3304215663238,417.5291704239144,447.5631713867188,222139806.0,True,False,False,False,False,True,447.5631713867188,417.5291704239144
195,2011-02-01,419.38788622766646,457.6047254992398,401.2541593685178,437.1362609863281,248984051.0,True,False,False,False,False,True,437.1362609863281,401.2541593685178
255,2015-09-01,407.87752148247466,429.6590108213386,394.1207743349114,411.889892578125,145856664.0,True,False,False,False,False,True,411.889892578125,394.1207743349114
277,2017-06-01,643.1928945708241,697.5846595345728,631.7547269290002,666.0210571289062,170892671.0,True,False,False,False,False,True,666.0210571289062,631.7547269290002
