Date,Open,High,Low,Close,Volume
1996-01-01,10.471227245420422,10.527414214933714,10.402270023548711,10.509536743164062,48051995
1996-01-02,10.483997642609367,10.53507676681904,10.351191667797872,10.427810668945312,77875009
1996-01-03,10.598927269968522,11.081625391330155,10.483998756041606,10.50698471069336,96602936
1996-01-04,10.407379165508688,10.44058081629108,10.269465342642427,10.409933090209961,100099436
1996-01-05,10.369071460329467,10.369071460329467,10.249035089592432,10.338423728942871,76935930
1996-01-08,10.317990135687483,10.32565190948986,9.822521836809697,9.924680709838867,86288584
1996-01-09,9.630976397955502,9.80719909895786,9.30917683435898,9.63863754272461,179415702
1996-01-10,9.44964500155701,9.676947452926127,9.347486752095039,9.39090347290039,127653926
1996-01-11,9.296408721317864,9.730581647455429,9.283638466382978,9.684610366821289,189051436
1996-01-12,9.756118665947701,9.830183734894543,9.518600541956028,9.582449913024902,172918416
1996-01-15,9.554356779864627,9.602881977831599,9.429213212808973,9.4828462600708,92291448
1996-01-16,9.449644715620765,9.55180296199154,9.418996989843196,9.500723838806152,100259719
1996-01-17,9.449647611926997,9.462417239220757,9.043568426657076,9.122740745544434,138279150
1996-01-18,8.890328287593167,9.035903893470168,8.775399780006548,8.86989688873291,174217485
1996-01-19,8.747308216287136,8.857127627131062,8.655365022117001,8.714106559753418,149773006
1996-01-22,8.742196831067021,8.977161014529893,8.734535058182214,8.86223316192627,156270292
1996-01-23,8.892881141926214,8.931190639843392,8.019427611810482,8.486802101135254,163795200
1996-01-24,8.412736813976021,8.463815929509833,8.070505921334005,8.195650100708008,162072156
1996-01-25,8.177773415519242,8.213529621143232,7.8023420717894005,7.85086727142334,166534879
1996-01-26,7.85086727142334,7.85086727142334,7.85086727142334,7.85086727142334,0
1996-01-29,7.815110731512305,8.54298863624147,7.766585537863693,8.468923568725586,301314299
1996-01-30,8.73453691917612,9.653961824896456,8.606838788224504,9.230005264282227,490083300
1996-01-31,9.143168687065794,9.487952247693634,8.798384496772195,9.028240203857422,337615209
1996-02-01,8.93885312458128,9.44964500155701,8.91331387704872,9.39090347290039,295555091
1996-02-02,9.64119105080751,10.522307036397645,9.64119105080751,10.409933090209961,377841766
1996-02-05,10.98202116271914,11.503028164069827,10.652559797425084,11.275726318359375,564175497
1996-02-06,11.546446643870638,11.748209248002114,10.093244353498363,10.330761909484863,573328443
1996-02-07,9.758673554710702,10.624464683875024,9.656514683430604,10.522306442260742,413246254
1996-02-08,10.629573025828735,11.628171426589544,10.522306930126934,11.441732406616211,379193186
1996-02-09,11.85036341767417,12.361154564327352,11.446838348851585,12.105759620666504,458934072
1996-02-12,11.799285374367647,12.003603121815535,11.18633591001898,11.347235679626465,448392867
1996-02-13,11.237413522465683,12.470975387758301,11.14036439457474,12.029141426086426,470284449
1996-02-14,12.335617158962734,12.51184047711906,11.944861653195087,12.03680419921875,287264960
1996-02-15,11.748207360321139,12.131301105969255,11.646049112103755,11.845257759094238,322651352
1996-02-16,11.646049745335871,11.76097762341295,11.546445416424831,11.635832786560059,228740914
1996-02-19,11.850365368733003,12.013817806974142,11.684357746489713,11.753314971923828,239163846
1996-02-20,11.748208514980263,11.796733089470136,10.982020948380166,11.13270378112793,294959199
1996-02-21,11.13270378112793,11.13270378112793,11.13270378112793,11.13270378112793,0
1996-02-22,11.390654293723955,11.799287337959534,11.291049957708235,11.720115661621094,283157057
1996-02-23,11.69712800111407,11.722668508528734,11.400868945357075,11.594969749450684,252022694
1996-02-26,11.72267027573082,11.965295687757928,11.546446918729432,11.620512008666992,251499188
1996-02-27,11.686912941653983,11.748208399740196,11.291049537371265,11.487704277038574,250359756
1996-02-28,11.70989635322872,11.84014902296704,11.518349494749186,11.543889999389648,197441744
1996-02-29,11.441731786287535,11.482594578879764,10.752162086640668,10.82111930847168,322080020
1996-03-01,10.9054010944609,11.043315550983541,10.652558763723887,10.882415771484375,333743853
1996-03-04,10.93094029082776,10.982020045422775,10.644896939358192,10.770040512084961,310777470
1996-03-05,10.770040512084961,10.770040512084961,10.770040512084961,10.770040512084961,0
